轮次,损失_D,损失_G,得分_D,得分_G,PSNR,SSIM
60,0.5620038333501345,0.004680269114599612,0.6847930607324694,0.2536285891900828,24.805353616301694,0.7134542833817633
61,0.5575225459417803,0.004684392577343571,0.6901603918219487,0.24880173120821786,24.800006671930763,0.7127488882918107
62,0.5477455721459633,0.004758939096691871,0.6925531078918918,0.2356414520259266,24.788042470452577,0.7121606064470191
63,0.5639373526494593,0.004741435430677436,0.6815053910390323,0.24633899373676438,24.790069878777004,0.7123690793388768
64,0.5623331495997264,0.004673768991763753,0.691410134353589,0.25370942281027054,24.788361515629376,0.7125106068033921
65,0.5777032237116833,0.004696138749805916,0.6781544316870534,0.2586729239636556,24.778023097104793,0.7108460562793832
66,0.569418174584901,0.00470541338984683,0.6701642178705324,0.24538255051419025,24.79737486224796,0.7126409842779762
67,0.5689335059154971,0.004703512410878351,0.6819292296572644,0.24062892847469491,24.807386543081723,0.713325236188738
68,0.5653786095326152,0.004713218298642651,0.6781672525181437,0.24589462268670872,24.759552724165044,0.7108869336153332
69,0.5362834854744737,0.004791475279857159,0.6864067521235654,0.21739498495011464,24.78403811118314,0.7113152060069536
70,0.5603316956409956,0.004806523861173589,0.6871084674998904,0.244729440014133,24.77511619106454,0.7110646236883966
71,0.5424214141776122,0.004740515075268616,0.692599036057901,0.2348606044845111,24.779921595760804,0.7108785458301243
72,0.5743447031296578,0.004721262260419807,0.6698446853745398,0.24609274782464907,24.77728199439205,0.7107688110125693
73,0.5524032774093708,0.004692588289158027,0.6925550261902361,0.24701032492444674,24.798857125059776,0.7132774662030371
74,0.5701283895936325,0.004731817459013607,0.6863267532286524,0.2573585391429778,24.776028890235192,0.7106165255370893
75,0.5522039898284331,0.004701215572544912,0.6973367807428824,0.2477645061139753,24.77236590039553,0.71175889168915
76,0.5691619834077906,0.004689987936473795,0.6704729423560916,0.24177826023962587,24.798124399002393,0.7132839830298173
77,0.5485782327491994,0.004705172466592079,0.6901266564596644,0.23186903699118616,24.804179615790297,0.7135262396774794
78,0.5579864382355575,0.004668211390258205,0.680321336384175,0.23649732612221824,24.807379971236756,0.7131304063295063
79,0.5653439210719742,0.004736031926279936,0.6737587988221935,0.22899030499531012,24.794274349219776,0.7119553785575063
80,0.5462579034486537,0.004721715997255065,0.68855830803926,0.2418806719970794,24.785829632294757,0.7113234253306138
81,0.5586345662061856,0.0046236016595196956,0.6817006680520518,0.23432988151238474,24.802977668157972,0.7138119937557923
82,0.5660668203815291,0.0047052670348019,0.6748197220924396,0.23764716046182327,24.76671415003386,0.7112906873226166
83,0.5587740874795133,0.004751213878135834,0.6846013514227213,0.2429498304718443,24.79937465632558,0.7123940055307589
84,0.5503066975906404,0.004809354138315508,0.6853739046930123,0.2323456030616985,24.783496722071195,0.711712036948455
85,0.5432608402075979,0.004771076569940257,0.6851040078475648,0.2242678078075606,24.769539618715406,0.7106655238490356
86,0.5697378880811962,0.004655618518897283,0.6811244102477438,0.24948761528828559,24.733332009024636,0.7091353736425701
87,0.55434187032317,0.004725123488675116,0.6924825062246857,0.24256358556262733,24.789377903290948,0.7128320453982604
88,0.5536483340423713,0.0046697629779258645,0.6823753612478347,0.24145986648334544,24.794791108666917,0.7125570551345223
89,0.5649169417384672,0.004715438662954655,0.6732996270998669,0.23421710449153355,24.755722846995223,0.709533658466841
90,0.5514548261063954,0.0047259850692812745,0.6919439123965487,0.24224289321956152,24.755478545623497,0.7099165599597128
91,0.5662856141073684,0.004597026677986019,0.6648265662352423,0.23282419926636677,24.779578119403695,0.7116382525155419
92,0.5521171145552249,0.004686689953393254,0.6821112716183351,0.23963811081204256,24.80620870965123,0.7135284888116937
93,0.5684262480694333,0.004752126729887861,0.6821019497925223,0.2370454754717296,24.801638514630028,0.7127072726425372
94,0.5653006522572571,0.004815060699658811,0.6748554919241517,0.2377390491578012,24.80023970447594,0.7130010946800834
95,0.5714601389038964,0.004728784920758029,0.6655813148012009,0.23218492474422506,24.798606896987113,0.7131243569286246
96,0.5523172517945849,0.004680607575298238,0.6907811863940082,0.2519625281085783,24.76400853681739,0.7098771899938583
97,0.5530198388586695,0.004759614026468051,0.6879296050704604,0.23686862560893676,24.776774619016507,0.7109469388660632
98,0.5577711808086021,0.004717928436155872,0.6823598232331848,0.23928687477035332,24.7880024231265,0.7118320973295914
99,0.5431748921386025,0.004664990896049667,0.6822066673409904,0.23179470969487434,24.778906520393733,0.711256109570202
100,0.5536531877939351,0.0047433581583410205,0.6788488970183336,0.22591896373025996,24.794942697350358,0.7120863702736403
